Title,Author,Journal,Year,Link,Date suggested,Creator,Read
"To replicate, or not to replicate √ê that is the question: how to tackle nonlinear responses in ecological experiments",Kreyling,Ecology Letters,2018,https://onlinelibrary.wiley.com/doi/10.1111/ele.13134,20-Oct-18,Nick,
Isotopic evidence for oligotrophication of terrestrial ecosystems,Craine et al,Nature Ecology and Evolution,2018,https://www.nature.com/articles/s41559-018-0694-0.epdf?author_access_token=sk9LfwX89VmuwE5VVfV03tRgN0jAjWel9jnR3ZoTv0M4qCEd28O2PEAE9Cm7sc2iWGs6MUFKzjMFYjIUs9IKdXPFi3oGuy79w1ZVeAYn_lpvpmiSApPTESkKfe91Z8CrPoWyFv4GenbEjedqKS6DkQ%3D%3D,22-Oct-18,Lizz,
The Terrestrial Carbon Sink,Keenan and Williams,annual reivew of environment and resources,2018,https://www.annualreviews.org/doi/abs/10.1146/annurev-environ-102017-030204,22-10-18,Nick,
Modelling carbon sources and sinks in terrestrial vegetation,Fatichi et al.,New Phytologist,2018,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.15451,23-10-18,Nick,X
C4¬†photosynthesis and climate through the lens of optimality,Zhou et al,PNAS,2018,http://www.pnas.org/content/early/2018/11/05/1718988115,11/7/18,Lizz,X
Functional trait variation related to gap dynamics in tropical moist forests: a vegetation modelling perspective,Togashi et al.,"Perspectives in Plant Ecology, Evolution and Systematics",2018,https://www.sciencedirect.com/science/article/pii/S1433831918300635#bib0260,11/8/18,Nick,
Favorable effect of mycorrhizae on biomass production efficiency exceeds their carbon cost in a fertilization experiment, Verlinden et al., Ecology Letters,2018, https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.2502, 11/8/18, Evan,X
Soil phosphorus availability is a driver of the repsonses of maize (Zea mays) to elevated CO2 concentration and arbuscular mycorrhizal colonisation, Watts-Williams et al., Symbiosis,2018, https://link.springer.com/article/10.1007/s13199-018-0573-0, 11/8/18, Evan,
Foundations and Frontiers of Ecosystem Science: Legacy of a Classic Paper (Odum 1969),Jessica R. Corman,Ecosystems,2018,https://link.springer.com/article/10.1007%2Fs10021-018-0316-3,12/20/18,Nick,
"How are nitrogen availability, fine_root mass, and nitrogen uptake related empirically? Implications for models and theory",Dybzinski et al.,Global Change Biology,2018/2019,https://onlinelibrary.wiley.com/doi/full/10.1111/gcb.14541,1/9/19,Nick,X
How to analyse plant phenotypic plasticity in response to a changing climate,Arnold et al.,New Phytologist,2019,https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15656,1/21/19,Nick,
Towards a more physiological representation of vegetation phosphorus processes in land surface models,Jiang et al.,New Phytologist,2019,https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.15688,1/21/19,Nick,
"Leaf nutrients, not specific leaf area, are consistent indicators of elevated nutrient inputs",Firn et al,Nature Ecology and Evolution,2019,https://www.nature.com/articles/s41559-018-0790-1,2/4/19,Lizz,
